First 1 second:
N wins: 30467, R wins: 17430, Draws: 1951, [61.12:34.97:3.91] (100K-epoch: 31, 20.47s)
Time Training: 616.02s, Trained: 47k, (X:23944,O:23953), Self Play: 50152 (Draws: 0.00%)
N wins: 30678, R wins: 17494, Draws: 1904, [61.26:34.93:3.80] (100K-epoch: 32, 20.44s)
Time Training: 636.46s, Trained: 48k, (X:24204,O:23968), Self Play: 49924 (Draws: 0.00%)
N wins: 30535, R wins: 17546, Draws: 1965, [61.01:35.06:3.93] (100K-epoch: 33, 20.45s)
Time Training: 656.91s, Trained: 48k, (X:24022,O:24059), Self Play: 49954 (Draws: 0.00%)
N wins: 30456, R wins: 17425, Draws: 2033, [61.02:34.91:4.07] (100K-epoch: 34, 20.48s)
Time Training: 677.39s, Trained: 47k, (X:23954,O:23927), Self Play: 50086 (Draws: 0.00%)
N wins: 30405, R wins: 17537, Draws: 1986, [60.90:35.12:3.98] (100K-epoch: 35, 20.44s)
Time Training: 697.83s, Trained: 47k, (X:23915,O:24027), Self Play: 50072 (Draws: 0.00%)
N wins: 30337, R wins: 17417, Draws: 2018, [60.95:34.99:4.05] (100K-epoch: 36, 20.60s)
Time Training: 718.43s, Trained: 47k, (X:23916,O:23838), Self Play: 50228 (Draws: 0.00%)
N wins: 30497, R wins: 17452, Draws: 2009, [61.05:34.93:4.02] (100K-epoch: 37, 20.42s)
Time Training: 738.85s, Trained: 47k, (X:23984,O:23965), Self Play: 50042 (Draws: 0.00%)
N wins: 30477, R wins: 17476, Draws: 1939, [61.09:35.03:3.89] (100K-epoch: 38, 20.45s)
Time Training: 759.30s, Trained: 47k, (X:23971,O:23982), Self Play: 50108 (Draws: 0.00%)
N wins: 30582, R wins: 17411, Draws: 1997, [61.18:34.83:3.99] (100K-epoch: 39, 20.21s)
Time Training: 779.52s, Trained: 47k, (X:24087,O:23906), Self Play: 50010 (Draws: 0.00%)
N wins: 30487, R wins: 17523, Draws: 1982, [60.98:35.05:3.96] (100K-epoch: 40, 19.95s)
Time Training: 799.47s, Trained: 48k, (X:23850,O:24160), Self Play: 50008 (Draws: 0.00%)
N wins: 30606, R wins: 17403, Draws: 1995, [61.21:34.80:3.99] (100K-epoch: 41, 19.81s)
Time Training: 819.28s, Trained: 48k, (X:23967,O:24042), Self Play: 49996 (Draws: 0.00%)
N wins: 30712, R wins: 17400, Draws: 1994, [61.29:34.73:3.98] (100K-epoch: 42, 19.77s)
Time Training: 839.05s, Trained: 48k, (X:24065,O:24047), Self Play: 49894 (Draws: 0.00%)
N wins: 30504, R wins: 17383, Draws: 1980, [61.17:34.86:3.97] (100K-epoch: 43, 19.74s)
Time Training: 858.78s, Trained: 47k, (X:23938,O:23949), Self Play: 50133 (Draws: 0.00%)
N wins: 30364, R wins: 17576, Draws: 1971, [60.84:35.21:3.95] (100K-epoch: 44, 19.23s)
Time Training: 878.01s, Trained: 47k, (X:23760,O:24180), Self Play: 50089 (Draws: 0.00%)
N wins: 30477, R wins: 17565, Draws: 1975, [60.93:35.12:3.95] (100K-epoch: 45, 15.41s)
Time Training: 893.42s, Trained: 48k, (X:23790,O:24252), Self Play: 49983 (Draws: 0.00%)
N wins: 30558, R wins: 17468, Draws: 1985, [61.10:34.93:3.97] (100K-epoch: 46, 15.72s)
Time Training: 909.14s, Trained: 48k, (X:23924,O:24102), Self Play: 49989 (Draws: 0.00%)
N wins: 30787, R wins: 17689, Draws: 1929, [61.08:35.09:3.83] (100K-epoch: 47, 23.33s)
Time Training: 932.47s, Trained: 48k, (X:24071,O:24405), Self Play: 49595 (Draws: 0.00%)
