First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 912.30µs)
Time Training: 1.09ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 71687, R wins: 24338, Draws: 3975, [71.69:24.34:3.98] (100K-epoch: 2, 3.60s)
Time Training: 3.60s, Trained: 96k, (X:48472,O:47553), Self Play: 0 (Draws: NaN%)
N wins: 71744, R wins: 24188, Draws: 4068, [71.74:24.19:4.07] (100K-epoch: 3, 3.62s)
Time Training: 7.23s, Trained: 95k, (X:48166,O:47766), Self Play: 0 (Draws: NaN%)
N wins: 72085, R wins: 23983, Draws: 3932, [72.08:23.98:3.93] (100K-epoch: 4, 3.54s)
Time Training: 10.77s, Trained: 96k, (X:48539,O:47529), Self Play: 0 (Draws: NaN%)
N wins: 71826, R wins: 24189, Draws: 3985, [71.83:24.19:3.98] (100K-epoch: 5, 3.55s)
Time Training: 14.32s, Trained: 96k, (X:48616,O:47399), Self Play: 0 (Draws: NaN%)
N wins: 71832, R wins: 24194, Draws: 3974, [71.83:24.19:3.97] (100K-epoch: 6, 3.54s)
Time Training: 17.86s, Trained: 96k, (X:48383,O:47643), Self Play: 0 (Draws: NaN%)
N wins: 71672, R wins: 24378, Draws: 3950, [71.67:24.38:3.95] (100K-epoch: 7, 3.62s)
Time Training: 21.48s, Trained: 96k, (X:48674,O:47376), Self Play: 0 (Draws: NaN%)
N wins: 71693, R wins: 24517, Draws: 3790, [71.69:24.52:3.79] (100K-epoch: 8, 3.55s)
Time Training: 25.04s, Trained: 96k, (X:48537,O:47673), Self Play: 0 (Draws: NaN%)
N wins: 71534, R wins: 24383, Draws: 4083, [71.53:24.38:4.08] (100K-epoch: 9, 3.54s)
Time Training: 28.58s, Trained: 95k, (X:48489,O:47428), Self Play: 0 (Draws: NaN%)
N wins: 71834, R wins: 24099, Draws: 4067, [71.83:24.10:4.07] (100K-epoch: 10, 3.54s)
Time Training: 32.12s, Trained: 95k, (X:48413,O:47520), Self Play: 0 (Draws: NaN%)
N wins: 71595, R wins: 24389, Draws: 4016, [71.59:24.39:4.02] (100K-epoch: 11, 3.94s)
Time Training: 36.06s, Trained: 95k, (X:48546,O:47438), Self Play: 0 (Draws: NaN%)
N wins: 71683, R wins: 24269, Draws: 4048, [71.68:24.27:4.05] (100K-epoch: 12, 3.61s)
Time Training: 39.67s, Trained: 95k, (X:48403,O:47549), Self Play: 0 (Draws: NaN%)
N wins: 71857, R wins: 24256, Draws: 3887, [71.86:24.26:3.89] (100K-epoch: 13, 4.49s)
Time Training: 44.16s, Trained: 96k, (X:48398,O:47715), Self Play: 0 (Draws: NaN%)
N wins: 71552, R wins: 24343, Draws: 4105, [71.55:24.34:4.11] (100K-epoch: 14, 3.54s)
Time Training: 47.70s, Trained: 95k, (X:48613,O:47282), Self Play: 0 (Draws: NaN%)
N wins: 71765, R wins: 24255, Draws: 3980, [71.77:24.25:3.98] (100K-epoch: 15, 3.54s)
Time Training: 51.24s, Trained: 96k, (X:48579,O:47441), Self Play: 0 (Draws: NaN%)
N wins: 71797, R wins: 24270, Draws: 3933, [71.80:24.27:3.93] (100K-epoch: 16, 3.55s)
Time Training: 54.79s, Trained: 96k, (X:48368,O:47699), Self Play: 0 (Draws: NaN%)
N wins: 71489, R wins: 24407, Draws: 4104, [71.49:24.41:4.10] (100K-epoch: 17, 3.52s)
Time Training: 58.31s, Trained: 95k, (X:48331,O:47565), Self Play: 0 (Draws: NaN%)
N wins: 71824, R wins: 24095, Draws: 4081, [71.82:24.09:4.08] (100K-epoch: 18, 3.51s)
Time Training: 61.83s, Trained: 95k, (X:48397,O:47522), Self Play: 0 (Draws: NaN%)
N wins: 71858, R wins: 24195, Draws: 3947, [71.86:24.20:3.95] (100K-epoch: 19, 3.51s)
Time Training: 65.34s, Trained: 96k, (X:48716,O:47337), Self Play: 0 (Draws: NaN%)
N wins: 71690, R wins: 24146, Draws: 4164, [71.69:24.15:4.16] (100K-epoch: 20, 3.51s)
Time Training: 68.85s, Trained: 95k, (X:48448,O:47388), Self Play: 0 (Draws: NaN%)
N wins: 71828, R wins: 24138, Draws: 4034, [71.83:24.14:4.03] (100K-epoch: 21, 3.53s)
Time Training: 72.38s, Trained: 95k, (X:48666,O:47300), Self Play: 0 (Draws: NaN%)
N wins: 71812, R wins: 24036, Draws: 4152, [71.81:24.04:4.15] (100K-epoch: 22, 3.54s)
Time Training: 75.92s, Trained: 95k, (X:48480,O:47368), Self Play: 0 (Draws: NaN%)
N wins: 71661, R wins: 24314, Draws: 4025, [71.66:24.31:4.03] (100K-epoch: 23, 3.52s)
Time Training: 79.44s, Trained: 95k, (X:48342,O:47633), Self Play: 0 (Draws: NaN%)
N wins: 71769, R wins: 24186, Draws: 4045, [71.77:24.19:4.04] (100K-epoch: 24, 3.52s)
Time Training: 82.96s, Trained: 95k, (X:48610,O:47345), Self Play: 0 (Draws: NaN%)
N wins: 71905, R wins: 23946, Draws: 4149, [71.91:23.95:4.15] (100K-epoch: 25, 3.65s)
Time Training: 86.61s, Trained: 95k, (X:48650,O:47201), Self Play: 0 (Draws: NaN%)
N wins: 71726, R wins: 24153, Draws: 4121, [71.73:24.15:4.12] (100K-epoch: 26, 3.52s)
Time Training: 90.13s, Trained: 95k, (X:48624,O:47255), Self Play: 0 (Draws: NaN%)
N wins: 71920, R wins: 24015, Draws: 4065, [71.92:24.02:4.07] (100K-epoch: 27, 3.50s)
Time Training: 93.63s, Trained: 95k, (X:48323,O:47612), Self Play: 0 (Draws: NaN%)
N wins: 71648, R wins: 24286, Draws: 4066, [71.65:24.29:4.07] (100K-epoch: 28, 3.56s)
