First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.72ms)
Time Training: 2.01ms, Trained: 0k, (X:1,O:0), Self Play: 0 (Draws: NaN%)
N wins: 30237, R wins: 17534, Draws: 2060, [60.68:35.19:4.13] (100K-epoch: 2, 13.93s)
Time Training: 13.94s, Trained: 47k, (X:23730,O:24041), Self Play: 50169 (Draws: 0.00%)
N wins: 30776, R wins: 17358, Draws: 1990, [61.40:34.63:3.97] (100K-epoch: 3, 12.96s)
Time Training: 26.90s, Trained: 48k, (X:24017,O:24117), Self Play: 49876 (Draws: 0.00%)
N wins: 30646, R wins: 17307, Draws: 2040, [61.30:34.62:4.08] (100K-epoch: 4, 12.95s)
Time Training: 39.85s, Trained: 47k, (X:24097,O:23856), Self Play: 50007 (Draws: 0.00%)
N wins: 30401, R wins: 17465, Draws: 1971, [61.00:35.04:3.95] (100K-epoch: 5, 12.96s)
Time Training: 52.82s, Trained: 47k, (X:24017,O:23849), Self Play: 50163 (Draws: 0.00%)
N wins: 30469, R wins: 17735, Draws: 2000, [60.69:35.33:3.98] (100K-epoch: 6, 12.97s)
Time Training: 65.79s, Trained: 48k, (X:24015,O:24189), Self Play: 49796 (Draws: 0.00%)
N wins: 30483, R wins: 17609, Draws: 1941, [60.93:35.19:3.88] (100K-epoch: 7, 12.96s)
Time Training: 78.75s, Trained: 48k, (X:24046,O:24046), Self Play: 49967 (Draws: 0.00%)
N wins: 30385, R wins: 17446, Draws: 2033, [60.94:34.99:4.08] (100K-epoch: 8, 12.96s)
Time Training: 91.71s, Trained: 47k, (X:23867,O:23964), Self Play: 50136 (Draws: 0.00%)
N wins: 30709, R wins: 17486, Draws: 1995, [61.19:34.84:3.97] (100K-epoch: 9, 12.93s)
Time Training: 104.63s, Trained: 48k, (X:24028,O:24167), Self Play: 49810 (Draws: 0.00%)
N wins: 30370, R wins: 17489, Draws: 1983, [60.93:35.09:3.98] (100K-epoch: 10, 12.98s)
Time Training: 117.62s, Trained: 47k, (X:23736,O:24123), Self Play: 50158 (Draws: 0.00%)
N wins: 30367, R wins: 17512, Draws: 1961, [60.93:35.14:3.93] (100K-epoch: 11, 13.03s)
Time Training: 130.65s, Trained: 47k, (X:23800,O:24079), Self Play: 50160 (Draws: 0.00%)
N wins: 30371, R wins: 17615, Draws: 1988, [60.77:35.25:3.98] (100K-epoch: 12, 12.96s)
Time Training: 143.61s, Trained: 47k, (X:23906,O:24080), Self Play: 50026 (Draws: 0.00%)
N wins: 30464, R wins: 17435, Draws: 1996, [61.06:34.94:4.00] (100K-epoch: 13, 12.95s)
Time Training: 156.56s, Trained: 47k, (X:23898,O:24001), Self Play: 50105 (Draws: 0.00%)
N wins: 30786, R wins: 17493, Draws: 2024, [61.20:34.78:4.02] (100K-epoch: 14, 12.95s)
Time Training: 169.51s, Trained: 48k, (X:24110,O:24169), Self Play: 49697 (Draws: 0.00%)
N wins: 30479, R wins: 17240, Draws: 1998, [61.30:34.68:4.02] (100K-epoch: 15, 12.99s)
Time Training: 182.50s, Trained: 47k, (X:23900,O:23819), Self Play: 50283 (Draws: 0.00%)
N wins: 30607, R wins: 17428, Draws: 1995, [61.18:34.84:3.99] (100K-epoch: 16, 12.95s)
Time Training: 195.46s, Trained: 48k, (X:23869,O:24166), Self Play: 49970 (Draws: 0.00%)
N wins: 30628, R wins: 17313, Draws: 1949, [61.39:34.70:3.91] (100K-epoch: 17, 12.96s)
Time Training: 208.42s, Trained: 47k, (X:24031,O:23910), Self Play: 50110 (Draws: 0.00%)
N wins: 30519, R wins: 17649, Draws: 2005, [60.83:35.18:4.00] (100K-epoch: 18, 12.94s)
Time Training: 221.36s, Trained: 48k, (X:24181,O:23987), Self Play: 49827 (Draws: 0.00%)
N wins: 30577, R wins: 17329, Draws: 2038, [61.22:34.70:4.08] (100K-epoch: 19, 12.97s)
Time Training: 234.33s, Trained: 47k, (X:24002,O:23904), Self Play: 50056 (Draws: 0.00%)
N wins: 30443, R wins: 17613, Draws: 1994, [60.83:35.19:3.98] (100K-epoch: 20, 12.99s)
Time Training: 247.32s, Trained: 48k, (X:23993,O:24063), Self Play: 49950 (Draws: 0.00%)
N wins: 30416, R wins: 17529, Draws: 1982, [60.92:35.11:3.97] (100K-epoch: 21, 12.96s)
Time Training: 260.28s, Trained: 47k, (X:24094,O:23851), Self Play: 50073 (Draws: 0.00%)
N wins: 30546, R wins: 17486, Draws: 1992, [61.06:34.96:3.98] (100K-epoch: 22, 12.96s)
Time Training: 273.23s, Trained: 48k, (X:23916,O:24116), Self Play: 49976 (Draws: 0.00%)
N wins: 30593, R wins: 17354, Draws: 2010, [61.24:34.74:4.02] (100K-epoch: 23, 12.99s)
Time Training: 286.22s, Trained: 47k, (X:23993,O:23954), Self Play: 50043 (Draws: 0.00%)
N wins: 30306, R wins: 17295, Draws: 2036, [61.06:34.84:4.10] (100K-epoch: 24, 13.16s)
Time Training: 299.38s, Trained: 47k, (X:23700,O:23901), Self Play: 50363 (Draws: 0.00%)
N wins: 30438, R wins: 17552, Draws: 2098, [60.77:35.04:4.19] (100K-epoch: 25, 12.96s)
Time Training: 312.34s, Trained: 47k, (X:23869,O:24121), Self Play: 49912 (Draws: 0.00%)
N wins: 30350, R wins: 17513, Draws: 2006, [60.86:35.12:4.02] (100K-epoch: 26, 12.98s)
Time Training: 325.32s, Trained: 47k, (X:23832,O:24031), Self Play: 50131 (Draws: 0.00%)
N wins: 30458, R wins: 17317, Draws: 2035, [61.15:34.77:4.09] (100K-epoch: 27, 13.07s)
Time Training: 338.39s, Trained: 47k, (X:23851,O:23924), Self Play: 50190 (Draws: 0.00%)
N wins: 30538, R wins: 17359, Draws: 1950, [61.26:34.82:3.91] (100K-epoch: 28, 13.00s)
Time Training: 351.39s, Trained: 47k, (X:23903,O:23994), Self Play: 50153 (Draws: 0.00%)
N wins: 30625, R wins: 17464, Draws: 1997, [61.14:34.87:3.99] (100K-epoch: 29, 12.97s)
Time Training: 364.36s, Trained: 48k, (X:24019,O:24070), Self Play: 49914 (Draws: 0.00%)
N wins: 30387, R wins: 17398, Draws: 2055, [60.97:34.91:4.12] (100K-epoch: 30, 13.00s)
Time Training: 377.36s, Trained: 47k, (X:23905,O:23880), Self Play: 50160 (Draws: 0.00%)
N wins: 30416, R wins: 17666, Draws: 2110, [60.60:35.20:4.20] (100K-epoch: 31, 12.94s)
Time Training: 390.29s, Trained: 48k, (X:24012,O:24070), Self Play: 49808 (Draws: 0.00%)
N wins: 30388, R wins: 17450, Draws: 2071, [60.89:34.96:4.15] (100K-epoch: 32, 12.96s)
Time Training: 403.25s, Trained: 47k, (X:23916,O:23922), Self Play: 50091 (Draws: 0.00%)
