First 1 second:
N wins: 30517, R wins: 17567, Draws: 2017, [60.91:35.06:4.03] (100K-epoch: 31, 13.65s)
Time Training: 416.69s, Trained: 48k, (X:24085,O:23999), Self Play: 49899 (Draws: 0.00%)
N wins: 30542, R wins: 17446, Draws: 2008, [61.09:34.89:4.02] (100K-epoch: 32, 13.89s)
Time Training: 430.57s, Trained: 47k, (X:23972,O:24016), Self Play: 50004 (Draws: 0.00%)
N wins: 30971, R wins: 17387, Draws: 1898, [61.63:34.60:3.78] (100K-epoch: 33, 13.69s)
Time Training: 444.26s, Trained: 48k, (X:24229,O:24129), Self Play: 49744 (Draws: 0.00%)
N wins: 30604, R wins: 17687, Draws: 1998, [60.86:35.17:3.97] (100K-epoch: 34, 13.62s)
Time Training: 457.88s, Trained: 48k, (X:24050,O:24241), Self Play: 49711 (Draws: 0.00%)
N wins: 30665, R wins: 17417, Draws: 1967, [61.27:34.80:3.93] (100K-epoch: 35, 13.65s)
Time Training: 471.53s, Trained: 48k, (X:24091,O:23991), Self Play: 49951 (Draws: 0.00%)
N wins: 30529, R wins: 17499, Draws: 1941, [61.10:35.02:3.88] (100K-epoch: 36, 13.68s)
Time Training: 485.22s, Trained: 48k, (X:23919,O:24109), Self Play: 50031 (Draws: 0.00%)
N wins: 30585, R wins: 17493, Draws: 1869, [61.23:35.02:3.74] (100K-epoch: 37, 13.67s)
Time Training: 498.89s, Trained: 48k, (X:23978,O:24100), Self Play: 50053 (Draws: 0.00%)
N wins: 30454, R wins: 17670, Draws: 1974, [60.79:35.27:3.94] (100K-epoch: 38, 13.66s)
Time Training: 512.55s, Trained: 48k, (X:23752,O:24372), Self Play: 49902 (Draws: 0.00%)
N wins: 30477, R wins: 17472, Draws: 2060, [60.94:34.94:4.12] (100K-epoch: 39, 13.65s)
Time Training: 526.20s, Trained: 47k, (X:23724,O:24225), Self Play: 49991 (Draws: 0.00%)
N wins: 30566, R wins: 17344, Draws: 2018, [61.22:34.74:4.04] (100K-epoch: 40, 13.68s)
Time Training: 539.87s, Trained: 47k, (X:24174,O:23736), Self Play: 50072 (Draws: 0.00%)
N wins: 30359, R wins: 17446, Draws: 1899, [61.08:35.10:3.82] (100K-epoch: 41, 13.67s)
Time Training: 553.55s, Trained: 47k, (X:23715,O:24090), Self Play: 50296 (Draws: 0.00%)
N wins: 30437, R wins: 17647, Draws: 1967, [60.81:35.26:3.93] (100K-epoch: 42, 13.63s)
Time Training: 567.18s, Trained: 48k, (X:23883,O:24201), Self Play: 49949 (Draws: 0.00%)
N wins: 30505, R wins: 17486, Draws: 1962, [61.07:35.00:3.93] (100K-epoch: 43, 13.64s)
Time Training: 580.82s, Trained: 47k, (X:23902,O:24089), Self Play: 50047 (Draws: 0.00%)
N wins: 30280, R wins: 17334, Draws: 2033, [60.99:34.91:4.09] (100K-epoch: 44, 13.71s)
Time Training: 594.52s, Trained: 47k, (X:23775,O:23839), Self Play: 50353 (Draws: 0.00%)
N wins: 30689, R wins: 17560, Draws: 1960, [61.12:34.97:3.90] (100K-epoch: 45, 13.94s)
Time Training: 608.46s, Trained: 48k, (X:24048,O:24201), Self Play: 49791 (Draws: 0.00%)
N wins: 30590, R wins: 17356, Draws: 2028, [61.21:34.73:4.06] (100K-epoch: 46, 13.70s)
Time Training: 622.16s, Trained: 47k, (X:23904,O:24042), Self Play: 50026 (Draws: 0.00%)
N wins: 30482, R wins: 17395, Draws: 2003, [61.11:34.87:4.02] (100K-epoch: 47, 13.70s)
Time Training: 635.86s, Trained: 47k, (X:23867,O:24010), Self Play: 50120 (Draws: 0.00%)
N wins: 30782, R wins: 17395, Draws: 2074, [61.26:34.62:4.13] (100K-epoch: 48, 13.70s)
Time Training: 649.56s, Trained: 48k, (X:24033,O:24144), Self Play: 49749 (Draws: 0.00%)
N wins: 30476, R wins: 17215, Draws: 2050, [61.27:34.61:4.12] (100K-epoch: 49, 13.67s)
Time Training: 663.23s, Trained: 47k, (X:23761,O:23930), Self Play: 50259 (Draws: 0.00%)
N wins: 30584, R wins: 17358, Draws: 1974, [61.27:34.77:3.95] (100K-epoch: 50, 13.65s)
Time Training: 676.88s, Trained: 47k, (X:23980,O:23962), Self Play: 50084 (Draws: 0.00%)
N wins: 30717, R wins: 17506, Draws: 2019, [61.14:34.84:4.02] (100K-epoch: 51, 13.65s)
Time Training: 690.53s, Trained: 48k, (X:24021,O:24202), Self Play: 49758 (Draws: 0.00%)
N wins: 30704, R wins: 17377, Draws: 1887, [61.45:34.78:3.78] (100K-epoch: 52, 13.65s)
Time Training: 704.18s, Trained: 48k, (X:24072,O:24009), Self Play: 50032 (Draws: 0.00%)
N wins: 30461, R wins: 17489, Draws: 2133, [60.82:34.92:4.26] (100K-epoch: 53, 13.65s)
Time Training: 717.83s, Trained: 47k, (X:23903,O:24047), Self Play: 49917 (Draws: 0.00%)
N wins: 30471, R wins: 17454, Draws: 2081, [60.93:34.90:4.16] (100K-epoch: 54, 13.64s)
Time Training: 731.47s, Trained: 47k, (X:23970,O:23955), Self Play: 49994 (Draws: 0.00%)
N wins: 30764, R wins: 17357, Draws: 2041, [61.33:34.60:4.07] (100K-epoch: 55, 13.65s)
Time Training: 745.12s, Trained: 48k, (X:23972,O:24149), Self Play: 49838 (Draws: 0.00%)
N wins: 30811, R wins: 17580, Draws: 1947, [61.21:34.92:3.87] (100K-epoch: 56, 13.66s)
Time Training: 758.79s, Trained: 48k, (X:24314,O:24077), Self Play: 49662 (Draws: 0.00%)
N wins: 30681, R wins: 17424, Draws: 1966, [61.27:34.80:3.93] (100K-epoch: 57, 13.64s)
Time Training: 772.42s, Trained: 48k, (X:24043,O:24062), Self Play: 49929 (Draws: 0.00%)
N wins: 30566, R wins: 17429, Draws: 2052, [61.07:34.83:4.10] (100K-epoch: 58, 13.83s)
Time Training: 786.25s, Trained: 47k, (X:23974,O:24021), Self Play: 49953 (Draws: 0.00%)
N wins: 30598, R wins: 17644, Draws: 2048, [60.84:35.08:4.07] (100K-epoch: 59, 13.71s)
Time Training: 799.97s, Trained: 48k, (X:24014,O:24228), Self Play: 49710 (Draws: 0.00%)
N wins: 30717, R wins: 17301, Draws: 2022, [61.38:34.57:4.04] (100K-epoch: 60, 13.64s)
Time Training: 813.61s, Trained: 48k, (X:24093,O:23925), Self Play: 49960 (Draws: 0.00%)
N wins: 30455, R wins: 17601, Draws: 2054, [60.78:35.12:4.10] (100K-epoch: 61, 13.64s)
Time Training: 827.24s, Trained: 48k, (X:23729,O:24327), Self Play: 49890 (Draws: 0.00%)
N wins: 30655, R wins: 17451, Draws: 2096, [61.06:34.76:4.18] (100K-epoch: 62, 13.62s)
Time Training: 840.86s, Trained: 48k, (X:24053,O:24053), Self Play: 49798 (Draws: 0.00%)
N wins: 30534, R wins: 17541, Draws: 1957, [61.03:35.06:3.91] (100K-epoch: 63, 13.67s)
