First 1 second:
N wins: 35575, R wins: 11342, Draws: 2930, [71.37:22.75:5.88] (100K-epoch: 31, 6.73s)
Time Training: 204.08s, Trained: 46k, (X:23617,O:23300), Self Play: 50153 (Draws: 98.98%)
N wins: 35651, R wins: 11247, Draws: 2937, [71.54:22.57:5.89] (100K-epoch: 32, 6.74s)
Time Training: 210.82s, Trained: 46k, (X:23529,O:23369), Self Play: 50165 (Draws: 98.97%)
N wins: 35670, R wins: 11455, Draws: 2906, [71.30:22.90:5.81] (100K-epoch: 33, 6.79s)
Time Training: 217.61s, Trained: 47k, (X:23855,O:23270), Self Play: 49969 (Draws: 97.97%)
N wins: 35670, R wins: 11406, Draws: 2851, [71.44:22.85:5.71] (100K-epoch: 34, 6.77s)
Time Training: 224.38s, Trained: 47k, (X:23833,O:23243), Self Play: 50073 (Draws: 98.97%)
N wins: 35789, R wins: 11557, Draws: 2924, [71.19:22.99:5.82] (100K-epoch: 35, 6.79s)
Time Training: 231.17s, Trained: 47k, (X:23890,O:23456), Self Play: 49730 (Draws: 98.00%)
N wins: 35657, R wins: 11329, Draws: 3001, [71.33:22.66:6.00] (100K-epoch: 36, 6.74s)
Time Training: 237.92s, Trained: 46k, (X:23795,O:23191), Self Play: 50013 (Draws: 98.98%)
N wins: 35713, R wins: 11465, Draws: 3027, [71.13:22.84:6.03] (100K-epoch: 37, 6.91s)
Time Training: 244.83s, Trained: 47k, (X:23572,O:23606), Self Play: 49795 (Draws: 99.01%)
N wins: 35615, R wins: 11368, Draws: 2903, [71.39:22.79:5.82] (100K-epoch: 38, 6.85s)
Time Training: 251.68s, Trained: 46k, (X:23742,O:23241), Self Play: 50114 (Draws: 98.99%)
N wins: 35479, R wins: 11400, Draws: 2990, [71.14:22.86:6.00] (100K-epoch: 39, 6.83s)
Time Training: 258.51s, Trained: 46k, (X:23534,O:23345), Self Play: 50131 (Draws: 98.04%)
N wins: 35461, R wins: 11480, Draws: 2946, [71.08:23.01:5.91] (100K-epoch: 40, 6.73s)
Time Training: 265.23s, Trained: 46k, (X:23562,O:23379), Self Play: 50113 (Draws: 99.02%)
N wins: 35588, R wins: 11436, Draws: 2954, [71.21:22.88:5.91] (100K-epoch: 41, 6.75s)
Time Training: 271.98s, Trained: 47k, (X:23741,O:23283), Self Play: 50022 (Draws: 99.01%)
N wins: 35628, R wins: 11355, Draws: 3026, [71.24:22.71:6.05] (100K-epoch: 42, 6.80s)
Time Training: 278.78s, Trained: 46k, (X:23681,O:23302), Self Play: 49991 (Draws: 98.00%)
N wins: 35630, R wins: 11492, Draws: 3018, [71.06:22.92:6.02] (100K-epoch: 43, 6.74s)
Time Training: 285.52s, Trained: 47k, (X:23943,O:23179), Self Play: 49860 (Draws: 99.00%)
N wins: 35793, R wins: 11420, Draws: 2931, [71.38:22.77:5.85] (100K-epoch: 44, 6.74s)
Time Training: 292.26s, Trained: 47k, (X:24034,O:23179), Self Play: 49856 (Draws: 99.02%)
N wins: 35608, R wins: 11535, Draws: 2908, [71.14:23.05:5.81] (100K-epoch: 45, 6.78s)
Time Training: 299.05s, Trained: 47k, (X:23655,O:23488), Self Play: 49949 (Draws: 98.04%)
N wins: 35686, R wins: 11150, Draws: 2954, [71.67:22.39:5.93] (100K-epoch: 46, 6.76s)
Time Training: 305.81s, Trained: 46k, (X:23695,O:23141), Self Play: 50210 (Draws: 98.96%)
N wins: 35756, R wins: 11200, Draws: 2943, [71.66:22.45:5.90] (100K-epoch: 47, 6.73s)
Time Training: 312.54s, Trained: 46k, (X:23751,O:23205), Self Play: 50101 (Draws: 98.98%)
N wins: 35529, R wins: 11295, Draws: 2990, [71.32:22.67:6.00] (100K-epoch: 48, 6.75s)
Time Training: 319.29s, Trained: 46k, (X:23553,O:23271), Self Play: 50186 (Draws: 99.01%)
N wins: 35636, R wins: 11301, Draws: 2971, [71.40:22.64:5.95] (100K-epoch: 49, 6.78s)
Time Training: 326.08s, Trained: 46k, (X:23611,O:23326), Self Play: 50092 (Draws: 97.98%)
N wins: 35697, R wins: 11282, Draws: 2949, [71.50:22.60:5.91] (100K-epoch: 50, 6.80s)
Time Training: 332.87s, Trained: 46k, (X:23699,O:23280), Self Play: 50072 (Draws: 99.05%)
N wins: 35377, R wins: 11348, Draws: 2922, [71.26:22.86:5.89] (100K-epoch: 51, 6.77s)
Time Training: 339.65s, Trained: 46k, (X:23505,O:23220), Self Play: 50353 (Draws: 98.96%)
N wins: 35403, R wins: 11368, Draws: 2997, [71.14:22.84:6.02] (100K-epoch: 52, 6.77s)
Time Training: 346.42s, Trained: 46k, (X:23533,O:23238), Self Play: 50232 (Draws: 98.00%)
N wins: 35804, R wins: 11399, Draws: 2917, [71.44:22.74:5.82] (100K-epoch: 53, 6.75s)
Time Training: 353.18s, Trained: 47k, (X:23696,O:23507), Self Play: 49880 (Draws: 98.98%)
N wins: 35804, R wins: 11427, Draws: 3009, [71.27:22.74:5.99] (100K-epoch: 54, 6.82s)
Time Training: 360.00s, Trained: 47k, (X:23924,O:23307), Self Play: 49760 (Draws: 97.98%)
N wins: 35678, R wins: 11153, Draws: 2959, [71.66:22.40:5.94] (100K-epoch: 55, 6.82s)
Time Training: 366.82s, Trained: 46k, (X:23565,O:23266), Self Play: 50210 (Draws: 99.01%)
N wins: 35692, R wins: 11392, Draws: 2971, [71.31:22.76:5.94] (100K-epoch: 56, 6.83s)
Time Training: 373.65s, Trained: 47k, (X:23578,O:23506), Self Play: 49945 (Draws: 98.98%)
N wins: 35808, R wins: 11301, Draws: 2985, [71.48:22.56:5.96] (100K-epoch: 57, 6.73s)
Time Training: 380.39s, Trained: 47k, (X:23729,O:23380), Self Play: 49906 (Draws: 99.02%)
N wins: 35373, R wins: 11339, Draws: 3004, [71.15:22.81:6.04] (100K-epoch: 58, 6.78s)
Time Training: 387.16s, Trained: 46k, (X:23518,O:23194), Self Play: 50284 (Draws: 98.07%)
N wins: 35824, R wins: 11589, Draws: 2943, [71.14:23.01:5.84] (100K-epoch: 59, 6.73s)
Time Training: 393.89s, Trained: 47k, (X:23783,O:23630), Self Play: 49644 (Draws: 99.00%)
N wins: 35596, R wins: 11335, Draws: 3006, [71.28:22.70:6.02] (100K-epoch: 60, 6.73s)
Time Training: 400.62s, Trained: 46k, (X:23800,O:23131), Self Play: 50063 (Draws: 99.02%)
N wins: 35533, R wins: 11676, Draws: 2884, [70.93:23.31:5.76] (100K-epoch: 61, 6.73s)
Time Training: 407.35s, Trained: 47k, (X:23608,O:23601), Self Play: 49907 (Draws: 98.96%)
N wins: 35716, R wins: 11394, Draws: 2903, [71.41:22.78:5.80] (100K-epoch: 62, 6.71s)
Time Training: 414.07s, Trained: 47k, (X:23802,O:23308), Self Play: 49987 (Draws: 98.96%)
N wins: 35851, R wins: 11277, Draws: 2967, [71.57:22.51:5.92] (100K-epoch: 63, 6.78s)
Time Training: 420.84s, Trained: 47k, (X:23708,O:23420), Self Play: 49905 (Draws: 97.93%)
N wins: 35690, R wins: 11382, Draws: 2869, [71.46:22.79:5.74] (100K-epoch: 64, 6.86s)
Time Training: 427.71s, Trained: 47k, (X:23921,O:23151), Self Play: 50059 (Draws: 99.04%)
N wins: 35698, R wins: 11430, Draws: 2957, [71.27:22.82:5.90] (100K-epoch: 65, 6.87s)
Time Training: 434.57s, Trained: 47k, (X:23799,O:23329), Self Play: 49915 (Draws: 98.96%)
N wins: 35595, R wins: 11621, Draws: 2951, [70.95:23.16:5.88] (100K-epoch: 66, 6.78s)
Time Training: 441.35s, Trained: 47k, (X:23666,O:23550), Self Play: 49833 (Draws: 98.05%)
N wins: 35657, R wins: 11350, Draws: 2905, [71.44:22.74:5.82] (100K-epoch: 67, 6.73s)
Time Training: 448.08s, Trained: 47k, (X:23685,O:23322), Self Play: 50088 (Draws: 99.02%)
N wins: 35524, R wins: 11423, Draws: 3056, [71.04:22.84:6.11] (100K-epoch: 68, 6.71s)
Time Training: 454.79s, Trained: 46k, (X:23628,O:23319), Self Play: 49997 (Draws: 99.02%)
N wins: 35766, R wins: 11317, Draws: 3003, [71.41:22.60:6.00] (100K-epoch: 69, 6.78s)
Time Training: 461.57s, Trained: 47k, (X:23704,O:23379), Self Play: 49914 (Draws: 97.93%)
N wins: 35699, R wins: 11277, Draws: 2962, [71.49:22.58:5.93] (100K-epoch: 70, 6.73s)
Time Training: 468.30s, Trained: 46k, (X:23528,O:23448), Self Play: 50062 (Draws: 98.98%)
N wins: 35695, R wins: 11376, Draws: 2903, [71.43:22.76:5.81] (100K-epoch: 71, 6.72s)
Time Training: 475.02s, Trained: 47k, (X:23763,O:23308), Self Play: 50026 (Draws: 98.94%)
N wins: 35454, R wins: 11551, Draws: 2947, [70.98:23.12:5.90] (100K-epoch: 72, 6.82s)
Time Training: 481.84s, Trained: 47k, (X:23510,O:23495), Self Play: 50048 (Draws: 98.03%)
N wins: 35810, R wins: 11380, Draws: 2828, [71.59:22.75:5.65] (100K-epoch: 73, 6.73s)
Time Training: 488.57s, Trained: 47k, (X:23876,O:23314), Self Play: 49982 (Draws: 98.99%)
N wins: 35573, R wins: 11497, Draws: 2946, [71.12:22.99:5.89] (100K-epoch: 74, 6.73s)
Time Training: 495.30s, Trained: 47k, (X:23715,O:23355), Self Play: 49984 (Draws: 99.03%)
N wins: 35771, R wins: 11222, Draws: 2935, [71.65:22.48:5.88] (100K-epoch: 75, 6.78s)
Time Training: 502.07s, Trained: 46k, (X:23870,O:23123), Self Play: 50072 (Draws: 98.11%)
N wins: 35544, R wins: 11328, Draws: 2991, [71.28:22.72:6.00] (100K-epoch: 76, 6.72s)
Time Training: 508.80s, Trained: 46k, (X:23699,O:23173), Self Play: 50137 (Draws: 99.02%)
