First 1 second:
N wins: 30742, R wins: 17404, Draws: 1988, [61.32:34.71:3.97] (100K-epoch: 31, 16.79s)
Time Training: 504.97s, Trained: 48k, (X:24048,O:24098), Self Play: 49866 (Draws: 0.00%)
N wins: 30775, R wins: 17454, Draws: 2003, [61.27:34.75:3.99] (100K-epoch: 32, 16.82s)
Time Training: 521.79s, Trained: 48k, (X:24178,O:24051), Self Play: 49768 (Draws: 0.00%)
N wins: 30587, R wins: 17445, Draws: 2002, [61.13:34.87:4.00] (100K-epoch: 33, 16.88s)
Time Training: 538.68s, Trained: 48k, (X:24044,O:23988), Self Play: 49966 (Draws: 0.00%)
N wins: 30625, R wins: 17439, Draws: 2017, [61.15:34.82:4.03] (100K-epoch: 34, 16.82s)
Time Training: 555.49s, Trained: 48k, (X:23965,O:24099), Self Play: 49919 (Draws: 0.00%)
N wins: 30617, R wins: 17438, Draws: 1987, [61.18:34.85:3.97] (100K-epoch: 35, 16.79s)
Time Training: 572.28s, Trained: 48k, (X:23966,O:24089), Self Play: 49958 (Draws: 0.00%)
N wins: 30734, R wins: 17328, Draws: 1930, [61.48:34.66:3.86] (100K-epoch: 36, 16.86s)
Time Training: 589.15s, Trained: 48k, (X:24073,O:23989), Self Play: 50008 (Draws: 0.00%)
N wins: 30632, R wins: 17451, Draws: 2013, [61.15:34.84:4.02] (100K-epoch: 37, 16.83s)
Time Training: 605.98s, Trained: 48k, (X:24241,O:23842), Self Play: 49904 (Draws: 0.00%)
N wins: 30434, R wins: 17330, Draws: 2025, [61.13:34.81:4.07] (100K-epoch: 38, 16.80s)
Time Training: 622.78s, Trained: 47k, (X:23789,O:23975), Self Play: 50211 (Draws: 0.00%)
N wins: 30562, R wins: 17453, Draws: 2069, [61.02:34.85:4.13] (100K-epoch: 39, 16.83s)
Time Training: 639.62s, Trained: 48k, (X:23902,O:24113), Self Play: 49916 (Draws: 0.00%)
N wins: 30658, R wins: 17563, Draws: 1947, [61.11:35.01:3.88] (100K-epoch: 40, 16.82s)
Time Training: 656.44s, Trained: 48k, (X:24036,O:24185), Self Play: 49832 (Draws: 0.00%)
N wins: 30650, R wins: 17429, Draws: 2030, [61.17:34.78:4.05] (100K-epoch: 41, 16.79s)
Time Training: 673.23s, Trained: 48k, (X:23832,O:24247), Self Play: 49891 (Draws: 0.00%)
N wins: 30277, R wins: 17494, Draws: 1959, [60.88:35.18:3.94] (100K-epoch: 42, 16.82s)
Time Training: 690.05s, Trained: 47k, (X:23938,O:23833), Self Play: 50270 (Draws: 0.00%)
N wins: 30688, R wins: 17308, Draws: 2024, [61.35:34.60:4.05] (100K-epoch: 43, 16.83s)
Time Training: 706.88s, Trained: 47k, (X:24156,O:23840), Self Play: 49980 (Draws: 0.00%)
N wins: 30263, R wins: 17458, Draws: 1973, [60.90:35.13:3.97] (100K-epoch: 44, 17.02s)
Time Training: 723.90s, Trained: 47k, (X:23826,O:23895), Self Play: 50306 (Draws: 0.00%)
N wins: 30818, R wins: 17552, Draws: 1878, [61.33:34.93:3.74] (100K-epoch: 45, 16.85s)
Time Training: 740.75s, Trained: 48k, (X:24047,O:24323), Self Play: 49752 (Draws: 0.00%)
N wins: 30463, R wins: 17535, Draws: 1970, [60.97:35.09:3.94] (100K-epoch: 46, 16.79s)
Time Training: 757.54s, Trained: 47k, (X:23897,O:24101), Self Play: 50032 (Draws: 0.00%)
N wins: 30598, R wins: 17605, Draws: 2053, [60.88:35.03:4.09] (100K-epoch: 47, 16.77s)
Time Training: 774.31s, Trained: 48k, (X:23962,O:24241), Self Play: 49744 (Draws: 0.00%)
N wins: 30504, R wins: 17537, Draws: 1908, [61.07:35.11:3.82] (100K-epoch: 48, 16.79s)
Time Training: 791.10s, Trained: 48k, (X:23924,O:24117), Self Play: 50051 (Draws: 0.00%)
