First 1 second:
N wins: 33683, R wins: 13814, Draws: 2478, [67.40:27.64:4.96] (100K-epoch: 54, 12.93s)
Time Training: 806.76s, Trained: 47k, (X:23744,O:23753), Self Play: 50025 (Draws: 40.21%)
N wins: 33049, R wins: 14384, Draws: 2430, [66.28:28.85:4.87] (100K-epoch: 55, 12.37s)
Time Training: 819.13s, Trained: 47k, (X:23709,O:23724), Self Play: 50137 (Draws: 57.07%)
N wins: 33733, R wins: 13997, Draws: 2384, [67.31:27.93:4.76] (100K-epoch: 56, 12.95s)
Time Training: 832.08s, Trained: 47k, (X:23645,O:24085), Self Play: 49886 (Draws: 35.92%)
N wins: 32118, R wins: 14320, Draws: 3543, [64.26:28.65:7.09] (100K-epoch: 57, 15.32s)
Time Training: 847.40s, Trained: 46k, (X:23093,O:23345), Self Play: 50019 (Draws: 36.22%)
N wins: 32336, R wins: 14683, Draws: 3135, [64.47:29.28:6.25] (100K-epoch: 58, 14.95s)
Time Training: 862.34s, Trained: 47k, (X:23563,O:23456), Self Play: 49846 (Draws: 34.89%)
N wins: 34003, R wins: 13634, Draws: 2368, [68.00:27.27:4.74] (100K-epoch: 59, 14.57s)
Time Training: 876.92s, Trained: 47k, (X:23877,O:23760), Self Play: 49995 (Draws: 17.98%)
N wins: 33262, R wins: 13793, Draws: 3003, [66.45:27.55:6.00] (100K-epoch: 60, 13.30s)
Time Training: 890.22s, Trained: 47k, (X:23704,O:23351), Self Play: 49942 (Draws: 41.97%)
N wins: 31800, R wins: 14497, Draws: 3903, [63.35:28.88:7.77] (100K-epoch: 61, 12.81s)
Time Training: 903.03s, Trained: 46k, (X:23252,O:23045), Self Play: 49800 (Draws: 51.22%)
N wins: 31595, R wins: 15133, Draws: 3283, [63.18:30.26:6.56] (100K-epoch: 62, 12.37s)
Time Training: 915.41s, Trained: 46k, (X:23276,O:23452), Self Play: 49989 (Draws: 59.96%)
N wins: 32353, R wins: 14693, Draws: 2854, [64.84:29.44:5.72] (100K-epoch: 63, 14.75s)
Time Training: 930.15s, Trained: 47k, (X:23210,O:23836), Self Play: 50100 (Draws: 30.05%)
N wins: 33356, R wins: 13752, Draws: 2832, [66.79:27.54:5.67] (100K-epoch: 64, 14.97s)
Time Training: 945.13s, Trained: 47k, (X:23308,O:23800), Self Play: 50060 (Draws: 39.00%)
N wins: 32241, R wins: 14935, Draws: 2635, [64.73:29.98:5.29] (100K-epoch: 65, 14.06s)
Time Training: 959.19s, Trained: 47k, (X:23398,O:23778), Self Play: 50189 (Draws: 44.21%)
N wins: 31822, R wins: 15105, Draws: 3252, [63.42:30.10:6.48] (100K-epoch: 66, 12.65s)
Time Training: 971.84s, Trained: 46k, (X:23350,O:23577), Self Play: 49821 (Draws: 49.93%)
N wins: 33071, R wins: 13681, Draws: 3426, [65.91:27.26:6.83] (100K-epoch: 67, 13.59s)
Time Training: 985.43s, Trained: 46k, (X:23619,O:23133), Self Play: 49822 (Draws: 27.02%)
N wins: 31404, R wins: 14549, Draws: 4165, [62.66:29.03:8.31] (100K-epoch: 68, 14.57s)
Time Training: 1000.00s, Trained: 45k, (X:22874,O:23079), Self Play: 49882 (Draws: 42.94%)
N wins: 33581, R wins: 13840, Draws: 2751, [66.93:27.59:5.48] (100K-epoch: 69, 13.04s)
Time Training: 1013.04s, Trained: 47k, (X:23847,O:23574), Self Play: 49828 (Draws: 49.10%)
N wins: 32993, R wins: 13731, Draws: 3467, [65.73:27.36:6.91] (100K-epoch: 70, 15.46s)
Time Training: 1028.50s, Trained: 46k, (X:23446,O:23278), Self Play: 49809 (Draws: 25.74%)
N wins: 33590, R wins: 14104, Draws: 2430, [67.01:28.14:4.85] (100K-epoch: 71, 13.72s)
Time Training: 1042.22s, Trained: 47k, (X:23697,O:23997), Self Play: 49876 (Draws: 33.91%)
N wins: 33598, R wins: 13951, Draws: 2569, [67.04:27.84:5.13] (100K-epoch: 72, 14.68s)
Time Training: 1056.90s, Trained: 47k, (X:23649,O:23900), Self Play: 49882 (Draws: 26.36%)
N wins: 32996, R wins: 14356, Draws: 2679, [65.95:28.69:5.35] (100K-epoch: 73, 14.09s)
Time Training: 1070.99s, Trained: 47k, (X:23490,O:23862), Self Play: 49969 (Draws: 49.80%)
N wins: 31710, R wins: 14559, Draws: 3750, [63.40:29.11:7.50] (100K-epoch: 74, 16.87s)
Time Training: 1087.86s, Trained: 46k, (X:22759,O:23510), Self Play: 49981 (Draws: 21.99%)
N wins: 32452, R wins: 14483, Draws: 2967, [65.03:29.02:5.95] (100K-epoch: 75, 14.68s)
Time Training: 1102.55s, Trained: 46k, (X:23497,O:23438), Self Play: 50098 (Draws: 34.00%)
N wins: 33290, R wins: 13926, Draws: 2645, [66.77:27.93:5.30] (100K-epoch: 76, 15.40s)
Time Training: 1117.95s, Trained: 47k, (X:23566,O:23650), Self Play: 50139 (Draws: 50.03%)
N wins: 32539, R wins: 14509, Draws: 2820, [65.25:29.09:5.65] (100K-epoch: 77, 16.07s)
Time Training: 1134.02s, Trained: 47k, (X:23337,O:23711), Self Play: 50132 (Draws: 48.87%)
